ANT1,93.20,60.13,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,84.21,65.03,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,62.44,52.06,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,87.26,58.44,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,87.23,59.39,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,85.71,60.48,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,84.56,60.58,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,80.11,60.41,90.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C15,82.91,60.96,90.00,1.0µF,NORDIC_NRF_3_RESC0402_L
C16,83.74,60.61,270.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,77.26,60.16,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,77.19,55.24,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,71.13,57.89,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,87.48,66.69,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,54.08,44.74,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,79.49,53.71,180.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,80.66,52.29,270.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,89.10,57.16,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,63.94,61.50,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,64.94,62.24,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,66.26,59.89,90.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,69.80,45.60,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,84.18,43.00,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,87.32,57.74,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,73.33,42.81,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,61.79,43.11,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,82.55,46.91,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,65.24,59.64,0.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,83.14,45.00,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,57.81,68.49,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,58.59,66.57,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,57.00,67.32,180.00,10uF,PERFECT_0402_0402
C4,89.06,59.04,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,69.02,64.10,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,74.41,63.99,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,79.27,59.11,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,79.04,54.81,180.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C7,83.89,52.62,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,86.23,52.69,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,87.28,55.99,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,54.03,44.80,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,71.80,61.83,90.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,53.97,46.10,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,54.01,43.40,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,60.31,59.06,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C10,60.77,49.66,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,57.99,47.86,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,59.63,48.76,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,60.30,59.76,180.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C5,60.41,54.46,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,60.66,53.66,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
